"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"158","0497","Bloomer",2000-11-07,1425000,"NR",2089,1267,"Passed","complete school improvement or to acquire and maintain portable classrooms",1
"159","0497","Bloomer",2002-11-05,150000,"NR",477,1220,"Failed","completing demolition and remodeling/renovation of gym portion of old Bloomer Middle School",1
"160","0497","Bloomer",2003-02-18,4825000,"Issue Debt",439,415,"Passed","remodel/renovate/upgrade and add classrooms to HS and acquire related equipment",1
"161","0497","Bloomer",2012-04-03,17500000,"Issue Debt",977,953,"Passed","paying the cost of constructing and equipping an elementary school on land currently owned by the District and consisting of a school site located on 8th Avenue and adjacent to the Middle School; and demolishing the current Elementary School site and completing related rehabilitation work to return the site to green space",1
"162","0497","Bloomer",2016-04-05,3500000,"Issue Debt",1353,1342,"Passed","$3,500,000.00 for constructing an addition on our Middle School for classroom space, a technical education and agricultural room, a computer lab, bathrooms and additional storage space; Middle School bathroom, kitchen and storage room remodeling; and acquiring furnishings, fixtures and equipment.",1
"163","0602","Bonduel",1996-05-07,5950000,"Issue Debt",570,406,"Passed","add & renov at elem, & ms/hs, technol,",1
"164","0602","Bonduel",2006-12-12,11960000,"Issue Debt",665,1134,"Failed","Remodel and build additions to Bonduel Elementary School, Bonduel Middle School and Bonduel High School.",1
"165","0602","Bonduel",2006-12-12,1050000,"NR - 2007",761,1023,"Failed","To exceed the revenue limit for nonrecuring expenses consisting of maintaining and purchasing techonolgy hardware and software.",1
"166","0602","Bonduel",2008-04-01,5800000,"Issue Debt",793,653,"Passed","Additions, remodeling, and maintenance work at Bonduel Elementary School, Bonduel, Middle School, and Bonduel High School.",1
"167","0602","Bonduel",2021-04-06,12500000,"Issue Debt",812,598,"Passed","Shall the School District of Bonduel, Shawano County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $12,500,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of:  renovations, building infrastructure, security and site improvements, including classroom and ADA accessibility updates and HVAC improvements, and construction of an addition for a gymnasium and locker room at the Junior High/High School campus; remodeling for a secure entrance and building infrastructure improvements at the Elementary School; and acquisition of furnishings, fixtures and equipment?",1
"168","0609","Boscobel",2008-11-04,1650000,"NR - 2009",1193,1042,"Passed","Exceed revenue limit for three years to maintain educational programs, facilities and equipment.",1
"169","0609","Boscobel",2015-11-03,6900000,"Issue Debt",536,567,"Failed","To pay the cost of energy efficiency projects and upgrades to school buildings.",1
"170","0609","Boscobel",2016-04-05,2e+07,"Issue Debt",865,1062,"Failed","To pay the cost of a school building improvement program, consisting of constructing a building addition to the high school and making related improvements to combine all grades at one location, and acquire furnishings, fixtures and equipment.",1
"171","0609","Boscobel",2016-04-05,1800000,"RR - 2016",970,958,"Passed","To Exceed the revenue cap on a recurring basis for continuing and enhancing the educational programs of the District and maintaining the current level of District Operations",1
"172","0609","Boscobel",2023-04-04,21500000,"Issue Debt",871,787,"Passed","To pay the cost of $21,500,000 for the public purpose of a school building and facility improvement project consisting of renovations and construction of additions and a gymnasium at the MS/HS.",1
"173","0623","Bowler",2006-04-04,750000,"NR - 2006",243,111,"Passed","To repair infrastructure including but not limited to roofing, parking lots, technology, flooring and general maintenance.  To purchase textbooks and meet limited technology needs which we have been unable to address in Fund 10 spending.",1
"174","0637","Boyceville Community",1998-05-12,7e+06,"Issue Debt",328,506,"Failed","new middle school; remodel high school",1
"175","0637","Boyceville Community",1999-05-20,8450000,"Issue Debt",585,419,"Passed","add to & remodel jr/sr hs; add to el school, buy land",1
"176","0637","Boyceville Community",2000-02-15,3500000,"Issue Debt",143,195,"Failed","addition to/improvement/remodel/equip school facilities",1
"177","0637","Boyceville Community",2008-04-01,5825000,"Issue Debt",494,331,"Passed","Paying the cost of maintenance, repair and improvement projects at various District buildings and sites.",1
"178","0657","Brighton #1",2000-05-25,2700000,"Issue Debt",127,177,"Failed","additing to, improving, remodeling, renovating, and equipping existing schools sites",1
"179","0657","Brighton #1",2000-11-07,1900000,"Issue Debt",368,318,"Passed","adding to, improving, remodeling, renovating and equipping existing school facilities",1
"180","0657","Brighton #1",2021-04-06,3975000,"Issue Debt",189,211,"Failed","The debt issued will be to build a STEM lab, a new art/music room, renovate the library media center, add a special education suite, and improve the building site to have a separate bus drop off to improve student safety.",1
"181","0658","Brillion",1997-05-13,11280000,"Issue Debt",NA,NA,"Failed","building renovation & additions",1
"182","0658","Brillion",1998-03-17,13700000,"Issue Debt",896,1331,"Failed","new high school",1
"183","0658","Brillion",1998-11-03,11115000,"Issue Debt",1192,1118,"Passed","new high school",1
"184","0658","Brillion",1999-09-14,2540000,"Issue Debt",879,101,"Passed","construct & equip auditorium at new h.s.",1
"185","0658","Brillion",2007-02-20,1400000,"Issue Debt",489,71,"Passed","paying the cost of remodeling, expanding and equipping the high school technology and engineering center",1
"186","0658","Brillion",2008-11-04,23690000,"Issue Debt",612,2124,"Failed","constructing and equipping a new K-8 elementary school and demolishing and removing the existing elementary school and maintenance facility; constructing replacement maintenance facilities; and making improvements at the elementary school site including asphalt improvements",1
"187","0658","Brillion",2010-04-06,4500000,"Issue Debt",519,383,"Passed","cost of remodeling and renovation projects at the elementary and middle schools",1
"188","0658","Brillion",2013-04-02,5300000,"Issue Debt",467,520,"Failed","To pay the cost of remodeling, renovation and addition projects at the elementary and middle schools.",1
"189","0658","Brillion",2013-11-05,5300000,"Issue Debt",478,504,"Failed","For the purpose of paying the cost of remodeling, renovation and addition projects at the elementary and middle schools.",1
"190","0658","Brillion",2014-04-01,2950000,"Issue Debt",607,421,"Passed","For the purpose of paying the cost of remodeling, renovation and addition projects at the elementary and middle schools.",1
"191","0658","Brillion",2018-04-03,5600000,"Issue Debt",539,336,"Passed","For the purpose of paying the costs of improvements and renovations to the elementary/middle school building",1
"192","0665","Bristol #1",1994-09-27,3900000,"Issue Debt",219,145,"Passed","11 clsrm add (48,500 sq ft) gym, library, music, art & remod",1
"193","0665","Bristol #1",2013-04-02,5300000,"Issue Debt",571,403,"Passed","Building expansion and remodeling project",1
"194","0665","Bristol #1",2023-04-04,2400000,"NR - 2023",810,963,"Failed","3-year non-recurring Operational Referendum to exceed the revenue limit by $800,000 per year beginning with the 2023-2024 school year and ending with the 2025-2026 school year consisting of expenses to sustain and maintain current operational and maintenance practices.",1
"195","0700","Brodhead",1994-09-13,8250000,"Issue Debt",534,318,"Passed","New H.S. & renovation (ADA)",1
"196","0700","Brodhead",2000-11-07,4547000,"Issue Debt",1162,1342,"Failed","remodel and addition to MS",1
"197","0700","Brodhead",2002-04-02,5900000,"Issue Debt",543,897,"Failed","adding to, remodeling, improving and equipping the elementary school; updating athletic facilities",1
"198","0700","Brodhead",2004-11-02,2300000,"Issue Debt",1533,1464,"Passed","improve, renovate and maintain existing facilities",1
"199","0700","Brodhead",2010-02-16,3585000,"NR - 2010",833,1027,"Failed","Maintaining facilities & programs",1
"200","0700","Brodhead",2013-04-02,2400000,"NR - 2013",786,508,"Passed","Maintain facilities and programs, and retirement of debt",1
"201","0700","Brodhead",2016-04-05,2850000,"NR - 2016",1430,793,"Passed","To exceed the revenue limit by $950,000, on a non-recurring basis, for each of the 2016-17, 2017-18 and 2018-19 school years, to be used to maintain facilities and programs, and for debt retirement.",1
"202","0700","Brodhead",2018-11-06,2850000,"NR - 2019",1590,1042,"Passed","To exceed the revenue limit for non-recurring purposes by $950,000 in each of three (3) consecutive years, including the 2019-20, 2020-21, 2021-22 school years, to be used to maintain school district facilities and programs.",1
"203","0700","Brodhead",2022-04-05,5250000,"NR - 2022",641,524,"Passed","To exceed the revenue limit for non-recurring purposes by $1,750,000 in each of three (3) consecutive years, including the 2022-23, 2023-24, and 2024-25 school years, to be used to maintain school district facilities and programs.",1
"204","0721","Brown Deer",1995-10-03,820000,"Issue Debt",1060,802,"Passed","Q 1:  var dist wide maint projects & roof",1
"205","0721","Brown Deer",2005-04-05,13500000,"Issue Debt",1455,1958,"Failed","New elementary school",1
"206","0721","Brown Deer",2005-04-05,19770000,"Issue Debt",1269,2136,"Failed","New academic wing and remodeling of high school",1
"207","0721","Brown Deer",2005-04-05,3800000,"Issue Debt",1074,2329,"Failed","New community auditorium",1
"208","0721","Brown Deer",2005-04-05,2620000,"Issue Debt",1079,2327,"Failed","20,000 square foot 2 station gym",1
"209","0721","Brown Deer",2007-04-03,4100000,"Issue Debt",1602,810,"Passed","High School Renovation",1
"210","0721","Brown Deer",2011-11-15,1.8e+07,"Issue Debt",1339,766,"Passed","Taking down the elementary school, renovating and equipping the middle school to convert it to an elementary school, expanding, renovating and equipping the high school to provide for grades 7 through 12, and making site improvements",1
