"District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
"0203","Auburndale",2016-04-05,"9e+05","NR - 2018",971,709,"Passed","Shall the School District of Auburndale be allowed to exceed the revenue limit specified in § 121.91, Wis. Stats., by up to $500,000 commencing with the 2017-2018 school year on a recurring basis; by up to an additional $200,000 in the 2018-2019 school year on a non-recurring basis, making a total of $700,000; by up to an additional $300,000 in the 2019-2020 school year on a non-recurring basis, making a total of $800,000; and by up to an additional $400,000 in the 2020-2021 school year on a non-recurring basis, making a total of $900,000, all for the purpose of maintaining current levels of educational programming, expenditures and operations?",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0203","Auburndale",2020-11-03,"6900000","Issue Debt",1394,1099,"Passed","Issue debt not to exceed $6,900,000 for paying the cost of a district-wide school facility improvement project consisting of:  capital maintenance, building infrastructure, and site improvements at all district facilities; construction of additions and renovations at Auburndale Middle/High School, including for technical education, agriculture, and family and consumer education space and greenhouse replacement; renovations at Auburndale Elementary School, including conversion of the little theater into multipurpose space and upgrades to the playground; and acquisition of furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0203","Auburndale",2020-11-03,"2e+05","RR - 2021",1517,966,"Passed","A recurring referendum to exceed the revenue cap by $200,000 beginning with the 2021-22 school year.",NA,NA
"0203","Auburndale",2023-04-04,"1200000","NR - 2023",754,775,"Failed","For a non-recurring referendum to exceed the revenue cap in the amount of $600,000 for fiscal years 2023-2024 and 2024-2025.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0203","Auburndale",1997-12-18,"2e+06","Issue Debt",606,470,"Passed","add gymnasium and locker room to high school",1,NA
"0203","Auburndale",1997-12-18,"4500000","Issue Debt",781,302,"Passed","add to and remodel elem and high schools. buy land",1,NA
"0217","Augusta",2005-11-17,"1500000","NR - 2006",NA,NA,"Cancelled","operation and maintenance expenses",NA,NA
"0217","Augusta",2022-11-08,"10500000","Issue Debt",1000,520,"Passed","school facility improvement projects consisting of: construction of additions and renovations at the Elementary and Middle/High school, district-wide capital maintenance, building infrastructure, safety and sit improvements and furnishings, fixtures, and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0217","Augusta",2022-11-08,"4500000","Issue Debt",938,573,"Passed","Construction of an addition for and equipping of a new gymnasium and related facility renovations and improvements at the Elementary school.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0217","Augusta",1996-10-19,"9e+05","Issue Debt",398,391,"Passed","swimming pool",1,NA
"0217","Augusta",1996-10-19,"8600000","Issue Debt",560,248,"Passed","addition and remodel middle sch & technology",1,NA
"0217","Augusta",2000-04-04,"175000","RR - 2000",195,668,"Failed","recurring purposes",NA,NA
"0217","Augusta",2000-04-04,"1990000","Issue Debt",186,678,"Failed","construct/equip bus garage, auditorium with furnishings, athletic facility and grounds, parking lot expansion, facility improvements, equipment and furnishings for current HS, MS, Elem schools",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0217","Augusta",2001-04-03,"1500000","RR - 2001",443,424,"Passed","operating and maintenance expenses",NA,1
"0231","Baldwin-Woodville Area",2008-06-03,"16775000","Issue Debt",445,1348,"Failed","To construct a new intermediate school",1,NA
"0231","Baldwin-Woodville Area",2008-06-03,"3500000","Issue Debt",631,1163,"Failed","To construct a new indoor swimming pool facility.",1,NA
"0231","Baldwin-Woodville Area",2015-04-07,"13950000","Issue Debt",1051,393,"Passed","For the public purpose of paying the cost of constructing additions and improvements to Greenfield Elementary School, including remodeling projects to improve safety and security; and acquiring fixtures, furnishings and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0231","Baldwin-Woodville Area",2020-04-07,"12500000","Issue Debt",1697,648,"Passed","$12,500,000 for facility upgrades",NA,NA
"0231","Baldwin-Woodville Area",1996-05-11,"330000","Issue Debt",248,40,"Passed","to purchace a building for use for admin offices & bus garage",NA,NA
"0231","Baldwin-Woodville Area",2000-12-12,"22300000","Issue Debt",792,659,"Passed","acquire land; demolish portion of existing schools; new MS and equipping; new bus garage; renovate existing elem. School and HS",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0245","Bangor",2007-02-20,"690000","NR - 2007",684,217,"Passed","non recurring purposes",NA,NA
"0245","Bangor",2007-02-20,"5500000","Issue Debt",682,220,"Passed","construct addition to and remodel adn renovate Bangor Elementary School including related site work; and acquiring furnishings, fixtures and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0245","Bangor",2010-02-16,"580000","Issue Debt",437,157,"Passed","paying the cost of demolition work and rehabilitation, repair and improvement projects for the gym at the old high school building and site",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0245","Bangor",2010-02-16,"1050000","NR - 2010",379,214,"Passed","non-recurring purposes",NA,NA
"0245","Bangor",2013-02-19,"1800000","NR - 2013",330,217,"Passed","non-recurring purposes",NA,NA
"0245","Bangor",2016-02-16,"2500000","NR - 2016",494,290,"Passed","Non-recurring purposes",NA,NA
"0245","Bangor",2018-11-06,"2500000","NR - 2019",1020,705,"Passed","Permission to exceed the revenue cap for three years starting in 2019-20 on a non-recurring basis.",NA,NA
"0245","Bangor",2021-04-06,"2700000","NR - 2022",452,233,"Passed","Exceed the revenue cap by $900,000 per year for three years beginning with the 2022-2023 school year and ending with the 2024-2025 school year for non-recurring purposes.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0245","Bangor",2022-11-08,"2.4e+07","Issue Debt",1215,635,"Passed","Capital Referendum",1,NA
"0245","Bangor",1995-12-09,"6800000","Issue Debt",881,423,"Passed","jr/sr hs",NA,NA
"0245","Bangor",1998-04-07,"450000","Issue Debt",405,167,"Passed","athletic field improvements",1,NA
"0280","Baraboo",2006-04-04,"7500000","NR - 2006",2979,3052,"Failed","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $1,500,000 ON A NON-RECURRING BASIS",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0280","Baraboo",2006-09-12,"7500000","NR - 2006",2945,3077,"Failed","Assisting in the maintenance of District educational programs, technology and capital projects",1,NA
"0280","Baraboo",2014-04-01,"9950000","Issue Debt",1705,1406,"Passed","maintenance; safety and security",NA,NA
"0280","Baraboo",2016-11-08,"21950000","Issue Debt",5596,4083,"Passed","Capital Project Referendum in the amount of $21.95 million for the purpose of additions, renovations and repairs to Baraboo HS.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0280","Baraboo",2019-04-02,"41700000","Issue Debt",2323,2100,"Passed","Additions, renovations, and capital maintenance projects at Jack Young Middle School; and acquisition of related furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0280","Baraboo",1995-09-12,"2e+06","Issue Debt",2035,1975,"Passed","Q 2: new pool",1,NA
"0280","Baraboo",1995-09-12,"14900000","Issue Debt",2422,1629,"Passed","Q 1: hs add & renov",1,NA
"0280","Baraboo",2003-09-09,"7500000","NR",1061,3687,"Failed","maintain district educational programs and facilities",1,NA
"0287","Barneveld",2010-04-06,"1175000","Issue Debt",389,154,"Passed","school district building improvements including roof replacement, insulation and exterior finish system, science room remodeling and equipment acquisition",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0287","Barneveld",2017-11-07,"12900000","Issue Debt",500,114,"Passed","Demolition of the oldest portion of the existing school building; construction of an addition for a new elementary school, music rooms and art rooms; construction of a new secure entrance, cafeteria, commons and kitchen; upgrades to restrooms, HVAC and plumbing and electrical systems.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0287","Barneveld",2017-11-07,"3400000","Issue Debt",453,154,"Passed","Renovation and expansion of Multi-Purpose gymnasium, addition of a new industrial arts and STEM area, staff/event parking.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0287","Barneveld",2023-04-04,"3450000","NR - 2023",467,614,"Failed","Operating Costs and Maintenance",NA,1
"0287","Barneveld",1995-02-21,"2500000","Issue Debt",268,194,"Passed","28,000 sq ft 5-5 wing added to k-12 bld",NA,NA
"0308","Barron Area",2007-04-03,"3100000","Issue Debt",815,726,"Passed","Paying the cost of various construction, acquisition and installation costs connected to modifying the District's climate control systems, including installing a wood boiler system at Riverview Middle School and improving cooler systems at all school facilities.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0308","Barron Area",2007-04-03,"790000","RR - 2007",708,828,"Failed","Budget to exceed revenue limit by $790,000 for recurring purposes.",NA,NA
"0308","Barron Area",2007-05-31,"3950000","NR - 2007",587,467,"Passed","Exceed Revenue Cap - $790,000 for five years",NA,NA
"0308","Barron Area",2010-04-06,"2e+06","RR - 2010",469,1066,"Failed","District seeks recurring referendum to maintain educational programs",1,NA
"0308","Barron Area",2012-04-03,"3950000","NR - 2012",728,834,"Failed","For non-recurring purposes consisting of operational and major maintenance projects.",NA,1
"0308","Barron Area",2012-08-14,"3950000","NR - 2012",795,765,"Passed","For non-recurring purposes consisting of operational and major maintenance projects.",NA,1
"0308","Barron Area",2016-04-05,"4500000","NR - 2017",1443,1042,"Passed","Non-recurring referendum to exceed the revenue cap for five years 2017-18 through 2021-22 for the purpose of completing multiple necessary major maintenance projects and retaining high quality staff.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0308","Barron Area",2017-04-04,"7e+06","Issue Debt",516,656,"Failed","General obligation bonds in an amount not to exceed $7,000,000 for the purpose of remodeling the current gymnasium and adding another gymnasium at the High School.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0308","Barron Area",2021-04-06,"24500000","Issue Debt",740,725,"Passed","INITIAL RESOLUTION NUMBER I AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $24,500,000.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0308","Barron Area",2021-04-06,"1900000","Issue Debt",685,775,"Failed","INITIAL RESOLUTION NUMBER II AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,900,000",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0308","Barron Area",1997-10-14,"12500000","Issue Debt",710,641,"Passed","add to and remodel schools; site improvements",1,NA
"0315","Bayfield",1997-04-01,"178000","RR",NA,NA,"Failed","To exceed revenue limits",NA,NA
"0315","Bayfield",2000-09-12,"6e+06","Issue Debt",451,347,"Passed","remodel, add to, renovate and equip existing school facilities(partially SAGE)",1,NA
"0336","Beaver Dam",2005-11-08,"2735000","RR - 2005",1379,4403,"Failed",NA,NA,NA
"0336","Beaver Dam",2016-11-08,"48900000","Issue Debt",6944,3202,"Passed","Renovations and improvements at the high school, and safety and security improvements for the District",1,NA
"0336","Beaver Dam",1996-09-10,"1.6e+07","Issue Debt",2527,1739,"Passed","new elem, dist wide renov",1,NA
"4263","Beecher-Dunbar-Pembine",2015-04-07,"2500000","NR - 2015",326,194,"Passed","School building maintenance and repairs, technology upgrades and to maintain educational programs and services.",1,NA
"4263","Beecher-Dunbar-Pembine",2020-04-07,"2875000","NR - 2020",380,309,"Passed","Resolution authorizing the School District Budget to exceed revenue limit by $575,000 per year for five years for non-recurring purposes.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4263","Beecher-Dunbar-Pembine",1995-10-03,"3800000","Issue Debt",371,258,"Passed","4.3 million remod & add to elem & hs",1,NA
"0350","Belleville",2016-11-08,"20750000","Issue Debt",2077,983,"Passed","Additions, remodeling, renovations and improvements and the Intermediate and Middle/High School buildings.",1,NA
"0350","Belleville",2022-11-08,"999999","RR - 2022",1897,1240,"Passed","To exceed the revenue limit by $999,999 beginning with the 2022-2023 school year, for recurring purposes consisting of operational and maintenance expenses.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0350","Belleville",1995-10-17,"6986000","Issue Debt",544,285,"Passed","85,000 sq ft hs added to current ms,",NA,NA
"0364","Belmont Community",2008-04-01,"1750000","NR - 2008",388,193,"Passed","To exceed revenue limit in the 2009-2009 through 2012-2013 school years",NA,NA
"0364","Belmont Community",2018-11-06,"9850000","Issue Debt",472,380,"Passed","Initial Resolution authorizing general obligation bonds in an amount not exceeding  $9,850,000",NA,NA
"0364","Belmont Community",1998-11-03,"4200000","Issue Debt",462,368,"Passed","add  to & remodel gr. 5-12 bldg; buy land and equipment",1,NA
"0413","Beloit",2012-04-03,"7e+07","Issue Debt",2889,2543,"Passed","Constructing additions to and repair, remodeling and improvement projects at District elementary school buildings and sites to add new and better classroom space, increase security and improve efficiency; demolition work; acquiring land and constructing a new intermediate school; constructing additions to and renovating Cunningham Elementary School for use as an intermediate school; constructing a new pool, tennis courts and a fitness center at the high school; relocating administrative offices and charter schools; upgrading technology and acquiring furniture, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0413","Beloit",2023-04-04,"19500000","Issue Debt",3003,3115,"Failed","Construction and district-wide capital maintenance improvements including roofing and building infrastructure updates to heating, ventilation, and cooling system, safety and exterior upgrades, and renovations to athletic facilities at Beloit Memorial High School.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0413","Beloit",2023-04-04,"2.3e+07","NR - 2023",2854,3259,"Failed","Exceed the revenue limit by $14,000,000 in 2023-24 and $9,000,000 in 2024-25 for operational and maintenance expenses, including for technology, curriculum and instructional materials, and social and emotional behavioral programs.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0413","Beloit",1992-05-14,"26275000","Issue Debt",3149,1984,"Passed",NA,NA,NA
"0422","Beloit Turner",2008-04-01,"6100000","Issue Debt",804,584,"Passed","cost of upgrades and improvements to district buildings, mechanical systems and parking lots; auditorium renovations; and equipment acquisition related thereto",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0422","Beloit Turner",2008-04-01,"2500000","Issue Debt",635,727,"Failed","stadium renovations and the acquisition of land to accommodate future space needs for the district",1,NA
"0422","Beloit Turner",2013-04-02,"2.8e+07","Issue Debt",647,1350,"Failed","Paying the costs of constructing and equipping a new high school including related site, roadway and utility improvements.",1,NA
